id|description|column|type|indice_id|status|score
10000|safety|Safety|indice||1|10
=======
9000|policy implementation|policy_implementation|indice||1|5
9001|CCE score for school |pi_cce|metric|9000|1|60
9002|% childrens enrolled under section 12 RTE|pi_enrolled_rte|metric|9000|1|40
10000|safety|safety|indice||1|10
>>>>>>> upstream/cQube-release-new
10001|SDMP developed in school|safety_sdmp|metric|10000|1|20
10002|CCTV installed in  school|safety_cctv|metric|10000|1|20
10003|Fire extinguisher in school|safety_fire_extinguisher|metric|10000|1|20
10004|Self defense training for girls|safety_is_girls_trained_defense|metric|10000|1|20
10005|% girls trained on self defense|safety_girls_trained_defense|metric|10000|1|20
<<<<<<< HEAD
11000|school infrastructure|School_Infrastructure|indice||1|10
=======
11000|school infrastructure|school_infrastructure|indice||1|10
>>>>>>> upstream/cQube-release-new
11001|boys per toilet functional|infra_boys_per_func_toilet|metric|11000|1|20
11002|girls per toilet functional|infra_girls_per_func_toilet|metric|11000|1|20
11003|students per urinals|infra_students_per_urinals|metric|11000|1|20
11004|Whether CWSN school or not|infra_cwsn_school|metric|11000|1|10
11005|Whether Anganwadi Centre is located inside the school |infra_anganwadi|metric|11000|1|10
11006|Vocational course in school|infra_vocational_course|metric|11000|1|10
11007|NSQF in school|infra_nsqf|metric|11000|1|10
<<<<<<< HEAD
12000|school inspection|School_Inspection|indice||1|5
12001|Number of visits by CRC Co-ordinator |insp_crc|metric|12000|1|40
12002|Number of visits by Block level officer (BRC/BEO) in previous year|insp_brc|metric|12000|1|30
12003|Number of visits by District/State level officers|insp_dis|metric|12000|1|30
13000|school performance|School_Performance|indice||1|5
13001|% Students passed in class 10|perf_class_10_passed|metric|13000|1|40
13002|% Students passed in class 12|perf_class_12_passed|metric|13000|1|60
14000|science lab index|Science_Lab_Index|indice||1|5
=======
12000|school inspection|school_inspection|indice||1|5
12001|Number of visits by CRC Co-ordinator |insp_crc|metric|12000|1|40
12002|Number of visits by Block level officer (BRC/BEO) in previous year|insp_brc|metric|12000|1|30
12003|Number of visits by District/State level officers|insp_dis|metric|12000|1|30
13000|school performance|school_performance|indice||1|5
13001|% Students passed in class 10|perf_class_10_passed|metric|13000|1|40
13002|% Students passed in class 12|perf_class_12_passed|metric|13000|1|60
14000|science lab index|science_lab_index|indice||1|5
>>>>>>> upstream/cQube-release-new
14001|Physics Separate Room Available|sclab_physics_room|metric|14000|1|25
14002|Chemistry  Separate Room Available|sclab_chemistry_room|metric|14000|1|25
14003|Biology  Separate Room Available|sclab_biology_room|metric|14000|1|25
14004|Mathematics  Separate Room Available|sclab_maths_room|metric|14000|1|25
<<<<<<< HEAD
15000|teacher profile|Teacher_Profile|indice||1|10
=======
15000|teacher profile|teacher_profile|indice||1|10
>>>>>>> upstream/cQube-release-new
15001|teachers experience|tch_experience|metric|15000|1|10
15002|% teachers trained from BRC|tch_trained_brc|metric|15000|1|10
15003|% teachers trained from CRC|tch_trained_crc|metric|15000|1|20
15004|% teachers trained from DIET|tch_trained_diet|metric|15000|1|20
15005|% teachers trained from Other|tch_trained_other|metric|15000|1|20
15006|% teachers Trained for teaching CWSN|tch_teaching_cwsn|metric|15000|1|10
15007|% teachers Trained in use of computer & teaching through computer|tch_teaching_use_computer|metric|15000|1|10
